Source,Target,Weight
5,126,11.46
7,327,7.4
8,133,7.81
10,16,93.6
138,143,100.0
140,389,0.94
141,155,3.32
141,248,50.0
141,319,50.0
142,146,100.0
142,200,31.94
142,277,95.75
144,276,50.0
152,151,75.73
154,228,5.5
154,234,32.23
154,291,32.23
169,315,51.0
170,142,85.3
170,146,44.64
170,200,14.26
170,277,42.74
170,286,96.49
170,392,94.01
177,223,50.0
177,233,50.0
210,138,1.9
210,145,5.0
210,154,13.03
210,164,5.05
210,189,21.8
210,203,8.68
210,209,0.62
210,281,7.6
218,284,50.0
255,268,50.0
263,229,55.73
263,369,76.4
277,311,7.05
306,308,50.0
306,388,50.0
321,344,29.21
321,357,29.12
379,216,26.31
379,395,50.0
401,357,29.18
404,255,50.0
406,190,50.0
457,129,50.01
488,185,20.03
502,175,50.0
576,342,50.0
708,254,50.0
711,783,3.03
715,732,36.36
717,755,0.34
717,769,0.48
717,781,1.57
717,830,57.18
718,745,7.72
719,732,59.97
729,811,2.08
729,826,1.66
731,784,50.0
745,758,0.38
745,782,2.0
745,820,0.46
753,758,50.0
753,790,74.26
757,816,76.36
760,812,10.06
768,718,3.84
768,729,2.5
768,830,5.67
795,1068,71.08
797,718,2.0
797,729,2.82
797,830,2.71
811,823,1.97
822,731,27.32
824,130,42.96
830,792,99.16
831,718,19.22
848,718,2.0
848,729,1.25
848,830,1.89
851,761,42.74
873,723,16.86
873,755,0.34
873,769,0.48
873,781,1.57
875,738,4.46
875,783,61.63
894,718,2.0
894,729,2.03
894,830,2.63
929,727,11.26
969,828,10.0
980,779,1.98
980,825,5.4
1012,1022,50.0
1013,1028,50.0
1013,1033,50.0
1013,1049,50.0
1023,1075,50.0
1026,1079,50.0
1030,1069,50.0
1031,1041,100.0
1036,1061,50.0
1046,1074,50.0
1080,1099,50.0
1080,1106,50.0
1121,1088,4.0
1214,1,99.04
1214,750,45.0
1215,2,4.48
1215,154,1.61
1215,167,0.83
1215,171,0.39
1215,269,2.09
1215,797,10.31
1215,1013,0.16
1215,1032,4.16
1216,2,2.01
1216,5,0.12
1216,9,0.33
1216,15,0.98
1216,138,0.64
1216,140,0.29
1216,141,0.6
1216,144,0.12
1216,147,1.21
1216,149,0.81
1216,162,1.96
1216,167,0.21
1216,175,0.49
1216,176,0.21
1216,182,0.28
1216,188,0.77
1216,192,0.19
1216,193,0.93
1216,195,0.39
1216,203,0.99
1216,204,1.43
1216,287,0.17
1216,370,2.05
1216,386,0.13
1216,711,0.11
1216,713,0.27
1216,714,0.21
1216,720,0.51
1216,722,1.05
1216,731,1.04
1216,732,0.52
1216,743,1.01
1216,1013,0.13
1216,1016,0.37
1216,1017,1.77
1216,1018,0.6
1216,1024,0.22
1216,1029,0.59
1216,1039,1.07
1216,1066,0.5
1216,1078,1.6
1216,1097,0.76
1217,2,1.36
1217,4,0.42
1217,6,3.66
1217,8,2.04
1217,19,0.2
1217,20,0.29
1217,144,2.32
1217,149,0.25
1217,151,0.16
1217,158,0.21
1217,167,0.22
1217,720,0.23
1217,728,0.18
1217,742,0.46
1217,797,0.76
1217,1022,2.28
1217,1036,0.18
1217,1038,0.65
1217,1074,0.39
1217,1091,0.6
1217,1094,0.71
1218,2,1.22
1218,164,1.36
1218,167,0.52
1218,175,0.97
1218,177,0.19
1218,183,6.01
1218,299,6.22
1218,309,2.78
1218,336,9.56
1218,715,0.78
1218,725,0.17
1218,1030,0.61
1218,1066,0.21
1218,1072,1.25
1218,1102,2.76
1218,1110,0.31
1219,2,0.98
1219,4,0.72
1219,5,0.51
1219,19,0.54
1219,55,4.23
1219,102,0.35
1219,124,0.11
1219,139,2.12
1219,140,0.23
1219,141,0.57
1219,155,1.79
1219,178,0.77
1219,184,1.44
1219,188,0.2
1219,193,2.79
1219,194,0.1
1219,195,2.01
1219,202,0.21
1219,203,2.54
1219,219,5.9
1219,226,4.29
1219,227,2.26
1219,239,1.42
1219,256,10.46
1219,259,0.24
1219,266,2.09
1219,269,1.13
1219,281,0.11
1219,327,9.91
1219,330,1.14
1219,340,12.39
1219,358,0.51
1219,367,5.65
1219,370,1.27
1219,371,0.33
1219,713,0.16
1219,726,0.11
1219,1039,1.24
1219,1042,99.8
1219,1043,0.25
1219,1045,1.11
1219,1055,0.87
1219,1083,19.9
1220,2,0.75
1220,6,49.71
1220,15,1.39
1220,19,1.23
1220,20,0.57
1220,138,1.42
1220,140,0.4
1220,141,1.78
1220,142,0.24
1220,144,0.66
1220,155,1.26
1220,157,0.17
1220,158,0.36
1220,162,0.65
1220,167,0.26
1220,177,0.61
1220,180,0.59
1220,182,0.43
1220,193,3.09
1220,252,2.6
1220,259,1.04
1220,260,0.16
1220,264,3.8
1220,266,1.16
1220,267,0.26
1220,283,0.39
1220,311,0.97
1220,325,0.15
1220,327,12.65
1220,371,0.12
1220,715,0.3
1220,716,0.14
1220,720,0.54
1220,723,1.36
1220,725,1.33
1220,732,0.24
1220,742,0.2
1220,749,0.32
1220,756,1.07
1220,796,0.45
1220,1012,3.17
1220,1017,0.92
1220,1018,1.01
1220,1024,0.66
1220,1029,2.17
1220,1032,1.33
1220,1039,1.77
1220,1055,0.5
1220,1064,2.7
1220,1072,0.1
1220,1081,1.16
1220,1097,0.57
1221,2,0.53
1221,46,0.41
1221,138,0.83
1221,140,1.11
1221,142,0.39
1221,151,0.21
1221,158,0.53
1221,162,1.57
1221,165,1.19
1221,168,1.3
1221,173,0.13
1221,177,0.69
1221,178,0.77
1221,180,2.61
1221,183,3.78
1221,184,2.04
1221,193,3.95
1221,194,0.54
1221,195,1.24
1221,203,1.74
1221,214,3.22
1221,219,5.55
1221,222,0.19
1221,226,0.9
1221,227,3.93
1221,239,2.09
1221,252,2.95
1221,261,0.35
1221,267,0.87
1221,281,0.62
1221,292,0.61
1221,297,1.52
1221,300,0.15
1221,311,1.87
1221,314,1.79
1221,317,4.57
1221,330,1.5
1221,358,13.36
1221,361,0.85
1221,362,0.22
1221,371,3.49
1221,713,0.72
1221,715,0.39
1221,716,1.16
1221,720,0.22
1221,723,0.17
1221,725,1.25
1221,726,0.59
1221,731,0.17
1221,732,0.48
1221,751,1.24
1221,756,1.49
1221,796,0.21
1221,1012,1.98
1221,1017,1.44
1221,1018,0.87
1221,1019,0.46
1221,1023,0.38
1221,1024,0.39
1221,1030,1.0
1221,1035,5.47
1221,1039,2.08
1221,1043,2.39
1221,1045,3.17
1221,1051,0.29
1221,1058,1.13
1221,1062,0.12
1221,1066,0.25
1221,1067,1.22
1221,1072,0.36
1221,1074,0.14
1221,1078,1.9
1221,1093,4.05
1221,1097,1.44
1221,1103,3.53
1221,1112,50.0
1222,2,0.53
1222,164,2.36
1222,180,2.58
1222,226,0.9
1222,311,1.87
1222,314,1.64
1222,725,0.25
1222,1018,0.52
1222,1019,0.46
1222,1051,0.3
1222,1097,0.32
1223,2,0.44
1223,5,0.38
1223,10,0.69
1223,151,0.2
1223,165,0.34
1223,297,0.73
1223,1103,0.57
1224,2,0.38
1224,13,1.88
1224,19,0.14
1224,20,0.17
1224,139,0.34
1224,149,1.85
1224,151,0.17
1224,167,0.88
1224,168,0.4
1224,175,0.43
1224,176,0.11
1224,183,1.66
1224,195,0.56
1224,219,0.92
1224,230,1.3
1224,239,0.28
1224,261,0.1
1224,266,0.9
1224,267,0.41
1224,292,0.87
1224,299,0.33
1224,300,1.63
1224,325,0.68
1224,330,0.23
1224,336,1.08
1224,361,1.1
1224,362,0.9
1224,371,1.22
1224,372,1.37
1224,720,0.14
1224,728,0.11
1224,732,0.77
1224,742,0.12
1224,743,0.1
1224,1019,0.12
1224,1039,0.66
1224,1055,0.46
1224,1062,0.2
1225,2,0.36
1225,171,0.8
1225,188,0.15
1225,192,0.13
1225,195,0.26
1225,266,0.12
1225,281,0.13
1225,283,0.16
1225,311,0.15
1225,370,0.89
1225,725,0.23
1225,756,0.58
1225,1043,0.37
1225,1045,0.74
1225,1064,1.03
1226,2,0.33
1226,165,0.55
1226,716,0.54
1226,731,0.27
1227,2,0.3
1227,10,0.48
1227,19,0.11
1227,162,0.28
1227,176,0.14
